BioNet,Bionet_assigned,Nicolle19Name
Eucalyptus camaldulensis subsp. camaldulensis,Eucalyptus camaldulensis,Eucalyptus camaldulensis
Eucalyptus cameronii,Eucalyptus cameronii,Eucalyptus cameronii
Eucalyptus camfieldii,Eucalyptus camfieldii,Eucalyptus camfieldii
Eucalyptus andrewsii subsp. campanulata,Eucalyptus campanulata,Eucalyptus campanulata
Eucalyptus campanulata,Eucalyptus campanulata,Eucalyptus campanulata
Eucalyptus camphora,Eucalyptus camphora,Eucalyptus camphora
Eucalyptus camphora subsp. camphora,Eucalyptus camphora subsp. camphora,Eucalyptus camphora
Eucalyptus camphora subsp. humeana,Eucalyptus camphora subsp. humeana,Eucalyptus camphora
Eucalyptus camphora subsp. relicta,Eucalyptus camphora subsp. relicta,Eucalyptus camphora
Eucalyptus canaliculata,Eucalyptus canaliculata,Eucalyptus canaliculata
Eucalyptus cannonii,Eucalyptus cannonii,Eucalyptus macrorhyncha
Eucalyptus macrorhyncha subsp. cannonii,Eucalyptus cannonii,Eucalyptus macrorhyncha
Eucalyptus cannonii <--> macrorhyncha,Eucalyptus cannonii <--> macrorhyncha,Eucalyptus macrorhyncha
Eucalyptus canobolensis,Eucalyptus canobolensis,Eucalyptus rubida
Eucalyptus capitellata,Eucalyptus capitellata,Eucalyptus capitellata
Eucalyptus carnea,Eucalyptus carnea,Eucalyptus carnea
Eucalyptus castrensis,Eucalyptus castrensis,Eucalyptus x castrensis
Eucalyptus chapmaniana,Eucalyptus chapmaniana,Eucalyptus chapmaniana
Eucalyptus chloroclada,Eucalyptus chloroclada,Eucalyptus chloroclada
Eucalyptus cinerea,Eucalyptus cinerea,Eucalyptus cinerea
Eucalyptus codonocarpa,Eucalyptus codonocarpa,Eucalyptus codonocarpa
Eucalyptus conica,Eucalyptus conica,Eucalyptus conica
Eucalyptus conjuncta,Eucalyptus conjuncta,Eucalyptus x conjucta
Eucalyptus consideniana,Eucalyptus consideniana,Eucalyptus consideniana
Eucalyptus conspicua,Eucalyptus conspicua,Eucalyptus conspicua
Eucalyptus microtheca,Eucalyptus coolabah,Eucalyptus coolabah
Eucalyptus coolabah,Eucalyptus coolabah,Eucalyptus coolabah
Eucalyptus coolabah subsp. arida,Eucalyptus coolabah subsp. arida,Eucalyptus coolabah
Eucalyptus coolabah subsp. coolabah,Eucalyptus coolabah subsp. coolabah,Eucalyptus coolabah
Eucalyptus aromaphloia,Eucalyptus corticosa,Eucalyptus corticosa
Eucalyptus corticosa,Eucalyptus corticosa,Eucalyptus corticosa
Eucalyptus costata,Eucalyptus costata subsp. murrayana,Eucalyptus incrassata
Eucalyptus costata subsp. murrayana,Eucalyptus costata subsp. murrayana,Eucalyptus incrassata
Eucalyptus incrassata,Eucalyptus costata subsp. murrayana,Eucalyptus incrassata
Eucalyptus crebra,Eucalyptus crebra,Eucalyptus crebra
Eucalyptus croajingolensis,Eucalyptus croajingolensis,Eucalyptus croajingolensis
Eucalyptus cunninghamii,Eucalyptus cunninghamii,Eucalyptus cunninghamii
Eucalyptus rupicola,Eucalyptus cunninghamii,Eucalyptus cunninghamii
Eucalyptus cypellocarpa,Eucalyptus cypellocarpa,Eucalyptus cypellocarpa
Eucalyptus dalrympleana,Eucalyptus dalrympleana,Eucalyptus dalrympleana
Eucalyptus dalrympleana subsp. dalrympleana,Eucalyptus dalrympleana subsp. dalrympleana,Eucalyptus dalrympleana
Eucalyptus dalrympleana subsp. heptantha,Eucalyptus dalrympleana subsp. heptantha,Eucalyptus dalrympleana
Eucalyptus dawsonii,Eucalyptus dawsonii,Eucalyptus dawsonii
Eucalyptus dealbata,Eucalyptus dealbata,Eucalyptus dealbata
Eucalyptus deanei,Eucalyptus deanei,Eucalyptus deanei
Eucalyptus debeuzevillei,Eucalyptus debeuzevillei,Eucalyptus pauciflora
Eucalyptus pauciflora subsp. debeuzevillei,Eucalyptus debeuzevillei,Eucalyptus pauciflora
Eucalyptus delegatensis,Eucalyptus delegatensis subsp. delegatensis,Eucalyptus delegatensis
Eucalyptus delegatensis subsp. delegatensis,Eucalyptus delegatensis subsp. delegatensis,Eucalyptus delegatensis
Eucalyptus dendromorpha,Eucalyptus dendromorpha,Eucalyptus dendromorpha
Eucalyptus dissita,Eucalyptus dissita,Eucalyptus moorei
Eucalyptus dives,Eucalyptus dives,Eucalyptus dives
Eucalyptus dorrigoensis,Eucalyptus dorrigoensis,Eucalyptus dorrigoensis
Eucalyptus dumosa,Eucalyptus dumosa,Eucalyptus dumosa
Eucalyptus dunnii,Eucalyptus dunnii,Eucalyptus dunnii
Eucalyptus dwyeri,Eucalyptus dwyeri,Eucalyptus dwyeri
Eucalyptus elata,Eucalyptus elata,Eucalyptus elata
Eucalyptus elliptica,Eucalyptus elliptica,Eucalyptus ?elliptica
Eucalyptus eugenioides,Eucalyptus eugenioides,Eucalyptus eugenioides
Eucalyptus nigra,Eucalyptus eugenioides,Eucalyptus eugenioides
Eucalyptus expressa,Eucalyptus expressa,Eucalyptus expressa
Eucalyptus exserta,Eucalyptus exserta,Eucalyptus exserta
Eucalyptus fastigata,Eucalyptus fastigata,Eucalyptus fastigata
Eucalyptus fergusonii,Eucalyptus fergusonii,Eucalyptus ?fergusonii
Eucalyptus fergusonii subsp. dorsiventralis,Eucalyptus fergusonii subsp. dorsiventralis,Eucalyptus dorsiventralis
Eucalyptus fergusonii subsp. fergusonii,Eucalyptus fergusonii subsp. fergusonii,Eucalyptus ?fergusonii
Eucalyptus fibrosa,Eucalyptus fibrosa,Eucalyptus fibrosa
Eucalyptus fibrosa subsp. fibrosa,Eucalyptus fibrosa,Eucalyptus fibrosa
Eucalyptus fracta,Eucalyptus fracta,Eucalyptus ?fracta
Eucalyptus fraxinoides,Eucalyptus fraxinoides,Eucalyptus fraxinoides
Eucalyptus fusiformis,Eucalyptus fusiformis,Eucalyptus fusiformis
Eucalyptus gillii,Eucalyptus gillii,Eucalyptus gillii
Eucalyptus glaucescens,Eucalyptus glaucescens,Eucalyptus glaucescens
Eucalyptus glaucina,Eucalyptus glaucina,Eucalyptus glaucina
Eucalyptus globoidea,Eucalyptus globoidea,Eucalyptus globoidea
Eucalyptus goniocalyx,Eucalyptus goniocalyx,Eucalyptus goniocalyx
Eucalyptus goniocalyx subsp. goniocalyx,Eucalyptus goniocalyx subsp. goniocalyx,Eucalyptus goniocalyx
Eucalyptus gracilis,Eucalyptus gracilis,Eucalyptus gracilis
Eucalyptus grandis,Eucalyptus grandis,Eucalyptus grandis
Eucalyptus gregsoniana,Eucalyptus gregsoniana,Eucalyptus gregsoniana
Eucalyptus haemastoma,Eucalyptus haemastoma,Eucalyptus haemastoma
Eucalyptus hypostomatica,Eucalyptus hypostomatica,Eucalyptus ?hypostomatica
Eucalyptus ignorabilis,Eucalyptus ignorabilis,Eucalyptus corticosa
Eucalyptus imitans,Eucalyptus imitans,Eucalyptus imitans
Eucalyptus interstans,Eucalyptus interstans,Eucalyptus interstans
Eucalyptus intertexta,Eucalyptus intertexta,Eucalyptus intertexta
Eucalyptus kartzoffiana,Eucalyptus kartzoffiana,Eucalyptus kartzoffiana
Eucalyptus kybeanensis,Eucalyptus kybeanensis,Eucalyptus kybeanensis
Eucalyptus lacrimans,Eucalyptus lacrimans,Eucalyptus lacrimans
Eucalyptus laevopinea,Eucalyptus laevopinea,Eucalyptus laevopinea
Eucalyptus langleyi,Eucalyptus langleyi,Eucalyptus langleyi
Eucalyptus laophila,Eucalyptus laophila,Eucalyptus apiculata
Eucalyptus largeana,Eucalyptus largeana,Eucalyptus largeana
Eucalyptus largiflorens,Eucalyptus largiflorens,Eucalyptus largiflorens
Eucalyptus latiuscula,Eucalyptus latiuscula,Eucalyptus moorei
Eucalyptus foecunda,Eucalyptus leptophylla,Eucalyptus leptophylla
Eucalyptus leptophylla,Eucalyptus leptophylla,Eucalyptus leptophylla
Eucalyptus leucoxylon,Eucalyptus leucoxylon subsp. pruinosa,Eucalyptus leucoxylon
Eucalyptus leucoxylon subsp. pruinosa,Eucalyptus leucoxylon subsp. pruinosa,Eucalyptus leucoxylon
Eucalyptus ligustrina,Eucalyptus ligustrina,Eucalyptus ligustrina
Eucalyptus longifolia,Eucalyptus longifolia,Eucalyptus longifolia
Eucalyptus luehmanniana,Eucalyptus luehmanniana,Eucalyptus luehmanniana
Eucalyptus macarthurii,Eucalyptus macarthurii,Eucalyptus macarthurii
Eucalyptus macrorhyncha,Eucalyptus macrorhyncha,Eucalyptus macrorhyncha
Eucalyptus macrorhyncha subsp. macrorhyncha,Eucalyptus macrorhyncha,Eucalyptus macrorhyncha
Eucalyptus magnificata,Eucalyptus magnificata,Eucalyptus magnificata
Eucalyptus globulus subsp. maidenii,Eucalyptus maidenii,Eucalyptus maidenii
Eucalyptus maidenii,Eucalyptus maidenii,Eucalyptus maidenii
Eucalyptus major,Eucalyptus major,Eucalyptus major
Eucalyptus malacoxylon,Eucalyptus malacoxylon,Eucalyptus malacoxylon
Eucalyptus mannifera,Eucalyptus mannifera,Eucalyptus mannifera
Eucalyptus mannifera subsp. gullickii,Eucalyptus mannifera subsp. gullickii,Eucalyptus mannifera
Eucalyptus mannifera subsp. maculosa,Eucalyptus mannifera subsp. mannifera,Eucalyptus mannifera
Eucalyptus mannifera subsp. mannifera,Eucalyptus mannifera subsp. mannifera,Eucalyptus mannifera
Eucalyptus mckieana,Eucalyptus mckieana,Eucalyptus mckieana
Eucalyptus melanophloia,Eucalyptus melanophloia,Eucalyptus melanophloia
Eucalyptus melliodora,Eucalyptus melliodora,Eucalyptus melliodora
Eucalyptus michaeliana,Eucalyptus michaeliana,Eucalyptus michaeliana
Eucalyptus microcarpa,Eucalyptus microcarpa,Eucalyptus microcarpa
Eucalyptus microcorys,Eucalyptus microcorys,Eucalyptus microcorys
Eucalyptus moluccana,Eucalyptus moluccana,Eucalyptus moluccana
Eucalyptus moorei,Eucalyptus moorei,Eucalyptus moorei
Eucalyptus morrisii,Eucalyptus morrisii,Eucalyptus morrisii
Eucalyptus muelleriana,Eucalyptus muelleriana,Eucalyptus muelleriana
Eucalyptus multicaulis,Eucalyptus multicaulis,Eucalyptus multicaulis
Eucalyptus nandewarica,Eucalyptus nandewarica,Eucalyptus nandewarica
Eucalyptus nicholii,Eucalyptus nicholii,Eucalyptus nicholii
Eucalyptus niphophila,Eucalyptus niphophila,Eucalyptus pauciflora
Eucalyptus pauciflora subsp. niphophila,Eucalyptus niphophila,Eucalyptus pauciflora
Eucalyptus nitens,Eucalyptus nitens,Eucalyptus nitens
Eucalyptus nobilis,Eucalyptus nobilis,Eucalyptus nobilis
Eucalyptus nortonii,Eucalyptus nortonii,Eucalyptus nortonii
Eucalyptus notabilis,Eucalyptus notabilis,Eucalyptus notabilis
Eucalyptus nova-anglica,Eucalyptus nova-anglica,Eucalyptus nova-anglica
Eucalyptus fibrosa subsp. nubila,Eucalyptus nubila,Eucalyptus nubilis
Eucalyptus nubila,Eucalyptus nubila,Eucalyptus nubilis
Eucalyptus obliqua,Eucalyptus obliqua,Eucalyptus obliqua
Eucalyptus oblonga,Eucalyptus oblonga,Eucalyptus ?oblonga
Eucalyptus obtusiflora,Eucalyptus obstans,Eucalyptus burgessiana
Eucalyptus obstans,Eucalyptus obstans,Eucalyptus burgessiana
Eucalyptus ochrophloia,Eucalyptus ochrophloia,Eucalyptus ochrophloia
Eucalyptus oleosa,Eucalyptus oleosa subsp. oleosa,Eucalyptus oleosa
Eucalyptus oleosa subsp. oleosa,Eucalyptus oleosa subsp. oleosa,Eucalyptus oleosa
Eucalyptus olida,Eucalyptus olida,Eucalyptus olida
Eucalyptus olsenii,Eucalyptus olsenii,Eucalyptus olsenii
Eucalyptus ophitica,Eucalyptus ophitica,Eucalyptus ophitica
Eucalyptus oreades,Eucalyptus oreades,Eucalyptus oreades
Eucalyptus oresbia,Eucalyptus oresbia,Eucalyptus cypellocarpa
Eucalyptus ovata,Eucalyptus ovata,Eucalyptus ovata
Eucalyptus pachycalyx,Eucalyptus pachycalyx subsp. banyabba,Eucalyptus pachycalyx
Eucalyptus pachycalyx subsp. banyabba,Eucalyptus pachycalyx subsp. banyabba,Eucalyptus pachycalyx
Eucalyptus paliformis,Eucalyptus paliformis,Eucalyptus paliformis
Eucalyptus panda,Eucalyptus panda,Eucalyptus panda
Eucalyptus paniculata,Eucalyptus paniculata,Eucalyptus paniculata
Eucalyptus paniculata subsp. matutina,Eucalyptus paniculata subsp. matutina,Eucalyptus paniculata
Eucalyptus paniculata subsp. paniculata,Eucalyptus paniculata subsp. paniculata,Eucalyptus paniculata
Eucalyptus parramattensis,Eucalyptus parramattensis,Eucalyptus parramattensis
Eucalyptus parramattensis subsp. decadens,Eucalyptus parramattensis subsp. decadens,Eucalyptus parramattensis
Eucalyptus parramattensis subsp. parramattensis,Eucalyptus parramattensis subsp. parramattensis,Eucalyptus parramattensis
Eucalyptus parvifolia,Eucalyptus parvula,Eucalyptus parvula
Eucalyptus parvula,Eucalyptus parvula,Eucalyptus parvula
Eucalyptus pauciflora,Eucalyptus pauciflora,Eucalyptus pauciflora
Eucalyptus pauciflora subsp. pauciflora,Eucalyptus pauciflora,Eucalyptus pauciflora
Eucalyptus perriniana,Eucalyptus perriniana,Eucalyptus perriniana
Eucalyptus pilligaensis,Eucalyptus pilligaensis,Eucalyptus woollsiana
Eucalyptus pilularis,Eucalyptus pilularis,Eucalyptus pilularis
Eucalyptus piperita,Eucalyptus piperita,Eucalyptus piperita
Eucalyptus piperita subsp. piperita,Eucalyptus piperita,Eucalyptus piperita
Eucalyptus piperita subsp. urceolaris,Eucalyptus piperita,Eucalyptus piperita
Eucalyptus placita,Eucalyptus placita,Eucalyptus paniculata
Eucalyptus planchoniana,Eucalyptus planchoniana,Eucalyptus planchoniana
Eucalyptus polyanthemos subsp. polyanthemos,Eucalyptus polyanthemos subsp. polyanthemos,Eucalyptus polyanthemos subsp. polyanthemos
Eucalyptus polyanthemos subsp. vestita,Eucalyptus polyanthemos subsp. vestita,Eucalyptus polyanthemos subsp. vestita
Eucalyptus polybractea,Eucalyptus polybractea,Eucalyptus polybractea
Eucalyptus populnea,Eucalyptus populnea subsp. bimbil,Eucalyptus populnea
Eucalyptus populnea subsp. bimbil,Eucalyptus populnea subsp. bimbil,Eucalyptus populnea
Eucalyptus porosa,Eucalyptus porosa,Eucalyptus porosa
Eucalyptus mannifera subsp. praecox,Eucalyptus praecox,Eucalyptus lactea
Eucalyptus praecox,Eucalyptus praecox,Eucalyptus lactea
Eucalyptus prava,Eucalyptus prava,Eucalyptus prava
Eucalyptus prominula,Eucalyptus prominula,Eucalyptus ?prominula
Eucalyptus propinqua,Eucalyptus propinqua,Eucalyptus propinqua
Eucalyptus psammitica,Eucalyptus psammitica,Eucalyptus psammitica
Eucalyptus pseudoglobulus,Eucalyptus pseudoglobulus,Eucalyptus pseudoglobulus
Eucalyptus pulverulenta,Eucalyptus pulverulenta,Eucalyptus pulverulenta
Eucalyptus pumila,Eucalyptus pumila,Eucalyptus pumila
Eucalyptus punctata,Eucalyptus punctata,Eucalyptus punctata
Eucalyptus punctata subsp. punctata,Eucalyptus punctata subsp. punctata,Eucalyptus punctata
Eucalyptus pyrocarpa,Eucalyptus pyrocarpa,Eucalyptus pyrocarpa
Eucalyptus quadrangulata,Eucalyptus quadrangulata,Eucalyptus quadrangulata
Eucalyptus quinniorum,Eucalyptus quinniorum,Eucalyptus cypellocarpa
Eucalyptus racemosa,Eucalyptus racemosa,Eucalyptus racemosa
Eucalyptus racemosa subsp. racemosa,Eucalyptus racemosa,Eucalyptus racemosa
Eucalyptus radiata,Eucalyptus radiata,Eucalyptus radiata
Eucalyptus radiata subsp. radiata,Eucalyptus radiata subsp. radiata,Eucalyptus radiata
Eucalyptus radiata subsp. sejuncta,Eucalyptus radiata subsp. sejuncta,Eucalyptus radiata
Eucalyptus ralla,Eucalyptus ralla,Eucalyptus sparsifolia
Eucalyptus recurva,Eucalyptus recurva,Eucalyptus recurva
Eucalyptus resinifera,Eucalyptus resinifera,Eucalyptus resinifera
Eucalyptus resinifera subsp. hemilampra,Eucalyptus resinifera subsp. hemilampra,Eucalyptus resinifera
Eucalyptus resinifera subsp. resinifera,Eucalyptus resinifera subsp. resinifera,Eucalyptus resinifera
Eucalyptus retinens,Eucalyptus retinens,Eucalyptus volcanica
Eucalyptus radiata subsp. robertsonii,Eucalyptus robertsonii,Eucalyptus robertsonii
Eucalyptus robertsonii,Eucalyptus robertsonii,Eucalyptus robertsonii
Eucalyptus robertsonii subsp. hemisphaerica,Eucalyptus robertsonii subsp. hemisphaerica,Eucalyptus x robertsonii subsp. hemispherica
Eucalyptus robertsonii subsp. robertsonii,Eucalyptus robertsonii subsp. robertsonii,Eucalyptus robertsonii
Eucalyptus robusta,Eucalyptus robusta,Eucalyptus robusta
Eucalyptus racemosa subsp. rossii,Eucalyptus rossii,Eucalyptus rossii
Eucalyptus rossii,Eucalyptus rossii,Eucalyptus rossii
Eucalyptus rubida,Eucalyptus rubida,Eucalyptus rubida
Eucalyptus rubida subsp. barbigerorum,Eucalyptus rubida subsp. barbigerorum,Eucalyptus rubida
Eucalyptus rubida subsp. rubida,Eucalyptus rubida subsp. rubida,Eucalyptus rubida
Eucalyptus rudderi,Eucalyptus rudderi,Eucalyptus rudderi
Eucalyptus rummeryi,Eucalyptus rummeryi,Eucalyptus rummeryi
Eucalyptus saligna,Eucalyptus saligna,Eucalyptus saligna
Eucalyptus saxatilis,Eucalyptus saxatilis,Eucalyptus saxatilis
Eucalyptus saxicola,Eucalyptus saxicola,Eucalyptus bridgesiana
Eucalyptus pellita,Eucalyptus scias,Eucalyptus scias
Eucalyptus scias,Eucalyptus scias,Eucalyptus scias
Eucalyptus scias subsp. apoda,Eucalyptus scias subsp. apoda,Eucalyptus scias
Eucalyptus scias subsp. callimastha,Eucalyptus scias subsp. callimastha,Eucalyptus scias
Eucalyptus scias subsp. scias,Eucalyptus scias subsp. scias,Eucalyptus scias
Eucalyptus sclerophylla,Eucalyptus sclerophylla,Eucalyptus racemosa
Eucalyptus scoparia,Eucalyptus scoparia,Eucalyptus scoparia
Eucalyptus seeana,Eucalyptus seeana,Eucalyptus seeana
Eucalyptus serpentinicola,Eucalyptus serpentinicola,Eucalyptus moorei
Eucalyptus siderophloia,Eucalyptus siderophloia,Eucalyptus siderophloia
Eucalyptus sideroxylon,Eucalyptus sideroxylon,Eucalyptus sideroxylon
Eucalyptus sideroxylon subsp. sideroxylon,Eucalyptus sideroxylon,Eucalyptus sideroxylon
Eucalyptus sieberi,Eucalyptus sieberi,Eucalyptus sieberi
Eucalyptus signata,Eucalyptus signata,Eucalyptus racemosa
Eucalyptus smithii,Eucalyptus smithii,Eucalyptus smithii
Eucalyptus socialis,Eucalyptus socialis,Eucalyptus socialis
Eucalyptus sp. 'Cattai',Eucalyptus sp. Cattai,Eucalyptus x sp. Cattai
Eucalyptus sparsifolia,Eucalyptus sparsifolia,Eucalyptus sparsifolia
Eucalyptus spectatrix,Eucalyptus spectatrix,Eucalyptus ?spectatrix
Eucalyptus squamosa,Eucalyptus squamosa,Eucalyptus squamosa
Eucalyptus stellulata,Eucalyptus stellulata,Eucalyptus stellulata
Eucalyptus stenostoma,Eucalyptus stenostoma,Eucalyptus stenostoma
Eucalyptus stricta,Eucalyptus stricta,Eucalyptus stricta
Eucalyptus sturgissiana,Eucalyptus sturgissiana,Eucalyptus sturgissiana
Eucalyptus subcaerulea,Eucalyptus subcaerulea,Eucalyptus subcaerulea
Eucalyptus subcaerula,Eucalyptus subcaerulea,Eucalyptus subcaerulea
Eucalyptus stannicola,Eucalyptus subtilior,Eucalyptus youmanii
Eucalyptus subtilior,Eucalyptus subtilior,Eucalyptus youmanii
Eucalyptus tenella,Eucalyptus tenella,Eucalyptus tenella
Eucalyptus tereticornis,Eucalyptus tereticornis,Eucalyptus tereticornis
Eucalyptus tereticornis subsp. tereticornis,Eucalyptus tereticornis subsp. tereticornis,Eucalyptus tereticornis
Eucalyptus tetrapleura,Eucalyptus tetrapleura,Eucalyptus tetrapleura
Eucalyptus tindaliae,Eucalyptus tindaliae,Eucalyptus tindaliae
Eucalyptus tricarpa,Eucalyptus tricarpa,Eucalyptus tricarpa
Eucalyptus triflora,Eucalyptus triflora,Eucalyptus triflora
Eucalyptus triplex,Eucalyptus triplex,Eucalyptus cinerea
Eucalyptus umbra,Eucalyptus umbra,Eucalyptus umbra
Eucalyptus umbra subsp. umbra,Eucalyptus umbra,Eucalyptus umbra
Eucalyptus vicina,Eucalyptus vicina,Eucalyptus vicina
Eucalyptus viminalis,Eucalyptus viminalis,Eucalyptus viminalis
Eucalyptus viminalis subsp. viminalis,Eucalyptus viminalis,Eucalyptus viminalis
Eucalyptus viminalis subsp. luxurians,Eucalyptus viminalis subsp. luxurians,Eucalyptus viminalis
Eucalyptus viridis,Eucalyptus viridis,Eucalyptus viridis
Eucalyptus volcanica,Eucalyptus volcanica,Eucalyptus volcanica
Eucalyptus wilcoxii,Eucalyptus wilcoxii,Eucalyptus wilcoxii
